order_purchase_timestamp_encoded_days (recency),frequecy,payment_value
2166,1,183.79
2261,1,96.8
1958,1,698.45
1980,1,780.16
2006,1,126.47
2339,1,159.14
1956,1,137.01
2110,1,118.17
1900,1,31.22
2018,1,65.39
1963,1,307.18
2044,1,1221.39
1910,1,1930.34
2069,1,31.77
2330,1,1058.1
2077,1,169.71
1961,1,78.28
2401,2,129.0
1886,1,163.58
2135,1,63.61
2134,1,105.37
1931,1,110.33
1967,1,962.41
1898,1,33.92
1961,1,66.39
2145,1,72.2
2418,1,222.68
2197,3,310.69
2449,1,38.95
2071,2,80.21
2066,1,136.99
2213,1,319.41
1903,1,343.74
2058,1,57.62
2037,1,236.81
2387,1,145.6
1881,1,31.79
2409,1,35.86
2105,1,157.21
2428,1,104.7
1920,1,193.98
2016,1,141.96
2141,1,266.69
1883,1,27.75
2136,2,144.86
2151,1,125.52
2065,1,165.8
2014,1,198.13
2108,1,132.54
2166,1,90.17
2044,1,173.88
1881,1,67.83
1954,2,201.14
2033,1,229.79
2078,1,125.43
2168,1,148.06
2237,1,153.52
2199,1,75.66
2083,2,72.38
2051,1,57.13
2233,1,153.2
2092,1,266.52
2096,1,57.77
2100,1,35.0
2000,1,57.69
2135,1,128.94
2360,1,147.17
2254,1,111.33
1943,1,43.38
2059,1,153.2
1973,1,65.76
2203,1,33.27
1881,1,73.44
1996,1,51.55
2342,1,63.11
1990,1,68.13
2143,1,46.09
1993,1,114.27
2192,1,415.97
1947,1,392.31
2095,1,49.34
2029,1,249.94
1962,1,46.29
2152,1,120.05
1993,1,128.85
1893,1,227.6
2030,1,122.84
2299,1,198.95
2000,2,142.17
2366,1,416.87
2006,1,82.94
2401,1,54.74
2308,1,120.09
1946,1,58.37
2238,1,85.24000000000001
2151,1,75.07
1993,1,38.37
1884,1,54.04
2041,1,38.22
1916,1,77.48
2023,1,277.52
1942,1,54.95
1987,1,50.87
2304,1,69.49000000000001
2291,1,55.01
2258,1,65.0
1999,1,202.08
2169,1,94.3
2293,1,167.29
2230,1,70.04
2250,1,51.5
2001,3,235.92
1967,1,58.05
2041,1,66.71
1954,1,66.73
2150,1,46.79
2193,1,87.36
2058,1,90.88
2449,1,174.54
2191,1,25.09
2336,1,507.17
1925,1,214.13
1940,1,156.73
1954,1,34.38
2290,2,31.84
2223,2,223.5
2069,1,99.69
1884,1,103.24
2310,2,206.68
2143,1,276.47
2151,1,413.16999999999996
2239,1,319.57
2176,1,74.59
1938,1,174.11
2331,1,168.2
2306,1,63.99
2306,1,165.25
2246,1,329.0
1938,1,237.55
1937,1,86.79
2416,1,42.51
1930,1,57.33
2088,2,61.37
1900,1,69.44
1899,1,117.79
1943,1,171.22
2152,1,64.1
2153,1,55.6
2184,1,56.01
2076,1,67.63
2051,1,60.79
1896,1,195.54
1972,1,39.34
2131,1,176.78
2080,1,245.35
2039,1,169.61
1896,1,78.42
2188,1,89.77
1947,1,33.92
2358,3,96.88
2279,1,70.14
2082,2,150.17
2251,1,161.37
1903,1,72.57
2094,1,53.1
2134,1,29.0
1980,1,49.49
2345,1,49.1
2118,1,83.14
2045,1,128.76
2167,1,205.46
1972,1,203.68
2072,1,72.98
2023,1,246.99
2149,1,118.46
1928,1,135.84
2096,1,143.83
2563,1,48.55
2220,1,494.67
2129,1,387.68
2264,2,33.24
1892,1,42.27
2085,1,195.91
1892,1,35.24
2153,1,71.14
2055,1,72.48
2342,1,155.63
1987,1,297.83
2142,1,31.75
2152,1,133.48
2215,1,34.53
1901,1,84.58
2041,1,114.54
2418,1,27.95
2452,1,87.9
2073,1,151.99
1938,1,72.17
1964,1,214.0
2009,1,149.82
2112,1,60.0
2051,1,46.26
1916,1,35.14
1946,1,31.9
1983,1,117.78
1948,1,714.35
2443,2,169.86
2177,1,118.93
2396,1,145.11
2085,1,282.25
2068,1,77.57
2311,1,83.73
2273,1,33.69
2369,1,65.89
2141,1,66.02
2159,1,116.85
2270,1,64.9
2563,1,87.9
2001,2,113.22
2071,1,30.72
1931,1,188.63
2219,1,231.39
2143,2,58.62
1983,1,285.72
1903,1,86.41
2098,1,262.27
1953,2,151.14
2030,1,66.74
1940,1,42.83
1962,1,24.38
2410,1,86.22
2153,1,101.34
2355,1,42.09
1980,1,110.67
1977,1,163.24
2249,1,194.48
1943,1,92.54
2150,1,176.87
2022,1,41.22
2310,1,46.69
1951,1,494.27
2271,1,237.98
2180,1,33.65
2148,1,168.2
2242,1,47.69
2321,1,48.27
1994,1,37.13
2346,1,156.03
2075,1,159.3
2302,1,170.32
2447,1,149.95
1978,1,177.89
2441,1,136.57
2025,1,191.13
2402,1,223.66
2420,1,52.77
1981,1,84.57
2017,1,146.48
2042,1,124.85
2128,1,167.81
2316,1,230.11
2085,1,61.38
2142,1,195.0
2261,1,65.17
2009,1,187.87
2310,1,882.46
2182,1,167.29
2268,1,74.16
2153,1,185.86
2316,1,54.0
2315,2,206.36
2152,1,62.41
2233,1,61.44
1987,1,93.85
1952,1,96.62
2400,1,60.64
2007,1,78.78
2319,1,122.89
1945,1,191.84
2352,1,81.72
1883,1,381.63
2437,1,96.88
1920,1,96.88
2260,1,100.33
2189,2,112.61
2025,1,171.87
2166,1,57.3
2150,1,47.42
2010,1,106.56
1916,1,62.82
2057,2,215.8
2162,1,45.0
1945,2,188.89
2055,1,142.21
2371,2,43.42
1985,1,52.78
2380,1,237.62
2137,1,145.14
2083,1,158.68
1875,1,37.37
1932,1,88.69
1970,2,127.0
2212,1,43.54
2001,1,61.44
2406,1,56.42
1987,1,126.64
1877,1,94.66
2094,1,129.91
2241,1,77.57
2141,1,76.66
2090,1,20.55
2064,1,38.8
2449,1,423.16
1958,1,68.88
1896,1,98.26
1985,1,128.48
2006,1,83.25
2070,1,79.56
2146,1,28.75
1905,1,186.38
2054,1,82.39
1915,1,116.79
2219,1,89.75
2062,1,74.96
2117,1,147.15
2300,1,59.24
1875,1,61.29
2272,2,356.13
1950,1,63.17
2389,1,98.21
2287,1,94.3
2031,1,144.66
2231,1,144.56
1918,1,219.4
1877,1,53.48
2053,1,108.32
2305,2,45.62
2152,1,112.71
1982,1,162.04
1964,1,303.46
2097,1,42.62
2267,1,328.6
2364,1,49.42
2135,1,70.27
2282,1,62.23
2389,1,117.12
2080,1,144.76
2090,1,53.01
2045,1,65.82
2360,1,72.78
1959,1,167.86
2021,1,93.03
1961,1,42.29
1917,1,189.26
2071,1,77.24
2237,2,46.84
2037,1,78.32
2154,1,170.19
2270,1,125.85
2053,1,107.78
2406,1,90.05
2090,1,100.21
2024,1,1600.51
2233,1,62.17
2099,3,213.37
2023,1,255.28
1914,2,246.61
2100,1,79.33
2191,1,372.07
1980,1,794.34
2059,1,104.76
1922,1,158.74
2318,1,318.34
2310,1,76.57
2153,1,56.78
2027,1,70.27
1981,1,87.32
1932,1,142.55
1941,1,119.79
2056,1,96.37
2246,1,155.14
2177,1,101.2
2002,1,111.85
2229,1,480.4
2300,1,132.02
1896,1,179.12
2383,1,1003.76
2288,1,46.69
2246,2,65.0
1982,1,55.93
2093,2,64.18
2341,1,325.12
2008,2,148.49
2318,2,19.68
1959,1,116.06
2266,1,32.09
2269,1,180.77
2175,1,209.48
2166,1,74.7
2317,1,115.45
2026,1,96.47
2231,1,97.04
2092,1,123.02
2063,1,40.0
2098,1,134.43
1959,1,79.38
2270,1,148.19
2003,1,284.84
2251,1,65.88
1907,1,140.92
1915,1,107.11
2260,1,194.48
2292,1,133.46
2083,1,64.53
2282,1,123.89
2151,1,38.72
2092,1,102.84
1904,1,497.54
2385,1,114.9
2162,1,113.15
2029,1,38.13
2112,1,103.55
1887,1,163.99
2033,1,34.78
2181,1,141.84
2104,1,138.6
1999,1,197.19
2057,1,35.4
2034,1,90.38
2359,1,187.83
2264,1,82.92
1938,1,311.34
2137,2,94.76
2037,1,143.67
1911,1,50.26
1974,1,95.51
2232,1,88.03
1913,1,35.85
2401,1,100.31
2395,1,69.77
2029,1,142.12
1941,1,101.86
1936,1,223.48
2102,1,147.15
2373,1,96.54
2394,1,46.11
2144,1,173.86
1930,1,137.87
2284,5,40.56
1917,1,114.37
2265,1,669.42
2060,1,149.87
2190,1,64.1
2231,2,174.49
1891,1,234.11
2091,1,41.0
2296,1,61.59
2196,2,106.38
1921,1,566.09
2094,1,89.88
1970,1,177.22
2145,1,166.21
2085,1,225.67
2051,1,147.35
1881,1,52.57
2216,1,77.57
2262,1,24.72
1911,1,40.58
1889,1,45.3
2148,2,142.26
2275,1,419.44
2137,1,213.91
2119,1,167.32
2074,1,117.94
2251,1,185.89
1994,1,48.94
2097,1,82.84
2389,1,107.04
1882,1,122.83
1911,1,32.37
2280,1,155.14
1949,1,94.77
2191,1,33.0
1941,1,130.01
2298,1,58.9
1892,1,188.66
2286,2,79.62
2083,1,36.0
2226,2,73.18
2214,2,100.5
2240,1,138.97
2249,1,215.07
2131,1,212.02
1895,1,85.79
1964,1,436.49
2408,1,155.57
1918,1,185.28
2090,1,41.0
2296,1,75.07
2336,1,258.41
2282,1,175.0
2383,1,115.9
2152,1,47.53
2400,2,81.78
2100,2,152.28
1881,1,329.45
2005,1,164.8
2107,1,59.0
2168,1,341.95
1897,1,141.92
2150,2,59.24
2404,1,75.53
1907,1,254.77
1896,1,32.63
1909,1,133.4
2150,1,126.11
2364,1,50.86
2279,1,347.74
2202,3,123.42
1942,1,183.05
1928,1,105.94
1930,1,923.97
2183,1,86.02
2123,1,64.1
1911,1,266.04
2404,1,83.24
2337,1,44.09
1964,1,389.16
2415,1,20.52
2392,1,907.8
1909,1,71.49
2031,1,249.68
1901,1,115.51
1974,1,246.36
2052,1,664.92
2037,1,438.2
2007,1,26.15
1926,1,393.47
2401,1,63.86
2279,1,357.13
2199,1,415.32
1981,1,117.51
2327,2,40.77
1884,1,67.44
2253,1,82.24
1976,1,62.24
1986,1,62.69
2107,1,174.41
2456,2,60.86
2359,1,166.69
2009,1,109.16
2099,1,69.5
2152,1,141.35
2188,1,186.4
1959,1,171.0
1986,1,58.22
2144,1,213.09
2075,1,95.32
1998,1,96.52
2134,1,105.87
1895,1,27.1
2336,1,156.09
2122,2,53.68
1962,2,285.19
1952,1,126.19
2258,1,61.69
1979,1,71.15
2110,1,43.68
1913,1,302.38
2100,1,74.16
2357,1,153.36
2090,1,114.84
2039,1,144.21
2141,1,141.13
2245,1,37.72
1999,1,53.96
2153,1,126.99
2433,1,119.17000000000002
2321,4,298.56
2567,1,144.94
2185,1,36.35
1897,1,87.27
2071,1,121.96
2196,1,53.1
2418,1,112.58
2343,1,66.6
2235,1,190.58
2418,1,173.24
2271,1,246.97
1995,1,115.15
2134,1,62.59
2315,1,30.6
1974,1,58.05
2013,1,50.23
2124,1,240.09
2300,1,192.83
2111,1,227.23
2414,1,62.51
1900,1,117.16
2141,1,134.18
2166,1,49.84
1975,1,132.98
2329,1,127.6
1988,1,1138.28
2277,1,39.45
2244,2,99.7
2007,1,114.78
2408,1,75.53
2330,1,170.58
2065,1,35.14
2042,1,56.98
2015,1,163.95
2167,1,20.78
2186,2,51.43
1984,1,199.0
1916,1,27.34
2279,1,393.84
2351,1,39.34
2069,1,83.41
2006,1,67.88
1960,1,157.44
1923,1,77.23
2153,1,247.23
2054,1,56.78
2233,1,192.66
2161,1,63.97
1993,1,95.4
2384,1,29.86
2110,1,82.42
2290,1,29.47
2009,1,48.62
2356,2,35.72
1985,1,146.34
2051,1,197.98
2160,1,132.05
2358,1,316.34
1995,1,84.36
2106,1,1083.2
2186,1,63.77
1886,1,394.31
2092,1,214.83
2211,1,65.28
1963,1,41.69
1969,1,161.96
2112,1,211.89
2399,1,276.11
2077,1,145.52
2213,1,46.05
2026,1,111.38
2081,1,46.24
2009,1,158.53
2158,2,102.84
2042,1,886.96
2079,1,47.14
1984,1,176.81
2306,1,184.94
2220,1,802.65
2443,1,81.09
2391,1,77.75
2253,1,88.27
2311,1,107.78
1981,1,91.79
1929,1,58.28
2265,2,45.0
2302,1,185.57
2009,1,68.87
2003,1,93.0
2304,1,88.2
2277,3,139.0
2188,1,66.01
1992,1,206.34
1965,1,569.82
1956,1,457.95
1901,2,64.43
1892,1,674.7
1973,1,46.19
2001,1,114.85
2272,1,115.81
2076,1,42.91
2046,1,43.22
2042,1,107.5
1978,1,157.45
1895,1,118.71
2133,1,538.36
2038,1,161.85999999999999
1889,1,470.55
2121,1,139.18
2150,1,61.85
2348,1,344.66999999999996
2064,1,89.88
1985,1,52.75
2009,1,76.38
2016,1,68.13
2260,1,34.27
2183,1,326.53
2129,1,237.68
2068,1,72.53
2111,1,85.25
1982,1,234.84
2098,1,669.71
2312,2,58.09
1883,1,93.32
2018,1,424.57
2023,1,268.15
2255,2,182.8
2083,1,135.51
1903,1,169.05
2069,1,123.05
1987,1,99.9
2069,1,68.83
2247,1,196.22
2152,1,84.93
2302,1,118.93
1957,1,94.52
2351,1,27.68
2248,1,42.77
2108,1,256.92
1932,1,66.15
2444,1,416.96
2100,1,205.87
2251,1,83.41
1912,2,109.72
1959,1,163.69
2213,1,144.28
1951,1,208.09
1988,1,172.09
1900,1,65.45
2308,1,110.89
2362,1,161.33
2065,1,148.79
1911,1,123.75
2378,1,60.86
2081,1,367.98
2312,1,35.94
2116,1,72.83
2035,1,308.86
1961,2,123.27
2143,1,135.08
2234,1,647.54
2158,1,41.78
2371,1,74.94
2154,1,49.6
2441,1,62.989999999999995
2002,1,219.27
2020,1,229.58
2030,1,175.08
2164,1,188.94
2070,1,177.08
2340,2,226.22
1902,1,72.27
2056,1,57.77
2566,1,611.56
2030,1,232.09
2386,1,287.03
2205,1,127.92
1986,1,129.74
2319,1,55.1
2151,1,392.1
2051,1,187.76
1908,1,443.77
2176,1,27.77
2099,1,178.49
2394,1,91.23
2338,1,80.2
2401,1,84.62
1907,1,85.5
2097,1,35.09
2078,1,112.79
1915,1,147.59
1961,1,59.82
2266,1,26.09
2032,1,84.16
2107,1,144.56
2166,1,62.59
1914,2,33.33
1965,1,116.26
2125,1,681.84
2305,1,102.03
2233,1,88.72
2138,1,195.0
2356,1,113.86
2021,1,29.22
2132,1,147.15
1901,1,327.17
1979,1,307.0
1894,1,110.77
2323,1,40.75
1967,1,136.62
2045,1,126.32
2038,1,1672.06
2230,1,38.69
2365,1,182.94
2263,1,31.8
2019,1,141.02
2271,1,138.15
2092,1,113.15
2022,1,128.86
2064,1,43.0
2065,2,351.96
2149,2,21.43
2255,1,20.77
2143,1,142.14
2311,1,361.2
1895,1,93.12
1959,2,160.89
2091,1,45.09
2310,1,173.33
2247,1,33.71
2136,1,153.72
2055,1,368.6
2441,1,115.72
2043,1,174.41
2343,1,132.02
1951,1,96.65
2142,1,186.85
1916,1,178.22
2060,1,74.07
1938,1,143.04
1898,1,351.22
2019,1,221.29
2016,1,121.7
2148,1,159.03
2390,1,127.9
2020,1,77.31
2274,1,160.4
2344,1,71.63
1979,2,43.7
2319,1,153.01
1901,1,159.89
2292,1,81.72
2149,1,174.43
1995,1,197.27
1940,1,53.32
2036,1,85.35
1940,1,164.54
1891,1,36.94
2109,1,182.91
2031,1,56.04
2038,1,26.29
2060,1,64.99
2055,1,53.1
2014,1,131.62
1999,1,163.66
2076,1,440.19
2433,1,215.69
1916,2,209.47
2140,1,33.68
1890,1,58.46
2047,1,163.29
1893,1,130.85
2195,1,99.44
2115,1,122.92
2009,1,58.13
2316,1,2036.86
2022,1,273.06
2332,1,39.34
2049,1,113.09
2041,1,219.18
2018,1,211.75
2338,1,340.49
2021,1,169.87
1898,1,22.29
1957,1,198.79
2315,1,215.05
2056,1,98.79
2457,1,619.46
2320,1,25.09
2405,1,140.91
1960,1,377.32
2337,1,33.0
1882,1,179.27
2380,1,96.1
2089,1,455.36
2035,1,28.73
2022,1,94.21
1985,1,106.56
2065,1,173.27
2359,1,110.98
2427,1,23.85
2035,1,84.19
2024,1,58.72
2383,1,100.3
2239,1,308.47
1892,1,157.47
2286,1,135.92
2183,1,66.01
2158,1,128.5
1911,1,47.6
2187,1,141.58
2073,1,171.84
2057,1,98.7
2119,1,143.02
1942,2,121.56
1966,1,83.82
1924,1,104.72
2152,1,232.9
2087,1,206.03
2441,1,230.84
2153,1,40.09
2156,1,341.88
1934,1,70.97
2009,1,61.32
1913,1,178.03
1876,1,612.98
2371,1,29.95
2192,1,455.7
2030,2,114.7
1957,1,293.86
2247,1,153.7
2000,1,259.82
2028,1,170.55
1916,1,278.66
2239,1,1237.81
1902,1,186.95
1944,1,57.31
2067,1,216.85
2157,1,183.31
2080,1,91.18
1855,3,84.58
2056,1,90.88
1931,1,75.56
2160,1,44.66
2063,1,65.77
1929,4,150.37
2147,1,235.64
1940,1,264.24
2104,1,106.87
2016,1,121.68
1995,1,174.97
2097,1,72.53
2137,1,144.65
2338,1,145.31
2338,1,351.54
2146,1,69.81
2152,1,243.89
2241,1,136.3
2041,1,108.41
2091,1,127.92
2001,1,100.12
2345,1,57.68
1958,1,117.96
2150,1,129.05
1962,1,162.66
1904,1,73.63
2282,1,142.28
2048,1,266.44
2134,1,89.56
1977,1,66.05
2077,1,189.37
1968,1,89.17
2250,1,46.77
2097,1,51.79
2311,1,53.01
2399,1,30.86
2461,1,218.08
2353,1,35.09
2180,1,100.63
2109,1,69.14
2341,1,576.55
2076,1,80.2
2193,1,55.24
2295,1,69.41
2107,1,46.01
1941,1,78.5
2003,1,278.54
2105,1,102.64
1911,1,68.43
2153,2,42.33
1994,1,40.96
1984,1,32.61
2026,3,59.32
2030,1,71.25
1895,1,454.66
2222,1,133.76
2046,1,80.67
2198,2,386.79
2022,1,327.17
2080,1,55.01
1897,1,60.42
1998,1,32.61
2274,1,85.14
2392,1,658.3
1930,1,342.39
2021,1,131.17
2134,1,60.74
1923,1,129.47
1895,1,126.9
2297,1,231.27
2317,1,56.42
2045,1,143.28
2350,1,131.32
2148,1,251.65
2415,1,43.94
2221,1,65.71
2457,1,101.92
2015,1,197.43
2044,1,509.2
2448,1,141.23
1901,1,37.58
1890,1,80.3
1943,1,136.8
2178,1,212.03
2017,1,172.68
2000,1,99.9
2448,1,63.52
2201,1,395.96000000000004
2259,1,63.1
2192,1,311.82
2020,1,28.04
1991,1,56.39
2103,1,53.72
2207,3,41.72
2269,1,251.59
2230,1,208.32
1998,1,120.22
2118,1,78.28
2337,1,123.99
2026,1,58.83
2149,1,45.01
2030,1,198.43
2434,1,117.58
1883,1,92.24
1911,1,148.23
1986,1,114.15
1987,1,95.36
1983,1,244.54
1986,1,72.39
2173,1,175.79
2106,1,86.24
2224,1,122.78
2143,2,461.94
1914,1,72.93
2167,1,40.77
2228,1,63.07
2358,1,124.95
1947,1,130.01
2182,1,92.97
1980,1,65.22
2242,1,73.64
2218,1,69.73
2039,1,178.59
1943,1,73.47
1887,1,82.97
2017,1,42.69
2031,1,99.11
1979,1,87.32
2141,1,72.14
2108,1,127.92
2429,1,232.05
2419,2,27.04
1900,1,319.43
2069,1,138.6
2245,1,347.06
1908,1,84.84
2217,1,194.85
2257,1,66.6
1958,1,61.56
2455,1,113.86
2261,1,76.36
1936,1,173.32
1948,1,241.73
1956,1,125.04
1885,1,123.07
2258,1,77.57
1937,1,81.78
2111,2,215.06
1946,1,46.39
1895,1,167.37
2281,1,77.57
1940,1,304.89
2346,1,153.9
2158,1,135.08
2229,1,99.44
1959,2,305.43
2258,1,102.37
2143,1,823.07
2192,1,174.68
1931,1,87.52
2277,1,61.8
1942,1,48.41
2076,1,83.41
2442,1,44.42
2083,1,88.16
2101,1,136.6
2378,1,222.92
1955,1,35.34
2307,1,57.69
2066,1,48.84
1998,1,80.16
1989,1,93.91
2242,1,47.59
2021,1,31.79
2305,1,63.62
2303,1,310.67
2183,1,430.98
2085,1,46.01
2205,1,408.16
2244,1,90.88
2410,2,56.91
1999,1,65.79
2153,1,37.09
1915,1,88.0
2066,1,370.8
2207,1,70.91
1985,1,162.47
1890,1,72.18
2287,1,52.77
2341,1,107.52
2219,1,388.54
2016,1,363.67
1965,1,61.14
1985,1,116.66
2034,1,204.59
1978,1,61.21
2264,1,178.84
2023,1,177.44
2332,1,102.03
2147,1,154.35
1900,1,219.4
2218,1,48.63
2190,1,55.18
1976,1,62.22
2346,2,54.82
1988,1,69.9
2153,1,103.33
2015,1,134.61
2302,2,92.28
2327,1,83.23
2294,1,105.42
2131,1,77.98
2148,1,209.76
1903,1,147.35
2168,1,50.87
2100,4,55.09
1914,1,55.26
2154,1,36.35
2213,1,61.69
2066,1,346.45
2167,1,68.65
2119,1,112.84
2039,1,213.9
1931,1,17.29
2133,1,368.11
2167,1,22.7
2226,1,71.15
2111,1,287.65
2266,1,69.03
1904,1,41.64
2241,1,198.57
2334,1,267.51
2056,1,140.06
2162,2,154.99
2052,1,203.8
2298,1,173.9
1978,1,114.02
1990,1,139.29
2240,1,181.4
1881,1,107.82
1948,1,123.34
2146,1,111.8
1924,1,124.41
2266,1,489.69
2445,1,124.35
2296,2,56.42
2123,1,206.68
1889,1,202.82
1987,1,99.92
1883,1,34.24
2339,1,209.1
1959,1,89.96
2359,1,49.01
2071,1,206.7
2071,3,37.34
2153,2,257.56
2094,1,91.58
2013,1,110.33
2235,1,234.46
2020,1,62.06
2223,1,98.23
1916,2,193.09
2181,2,53.1
2249,1,162.79
1954,1,19.39
1896,1,73.02
1950,1,595.44
2007,1,52.73
2279,1,1150.54
2267,1,76.78
2002,1,76.28
2059,2,105.38
1938,1,114.79
1973,1,31.69
2171,1,136.99
2060,1,29.69
2122,1,450.53
1916,1,97.59
2257,1,145.24
1922,1,46.82
2025,1,173.07
2017,1,57.29
2165,1,84.14
2090,1,75.63
2437,1,71.71
2257,1,174.14
2058,1,90.24
2468,1,517.59
2211,2,91.08
2304,1,220.85
2120,1,141.5
2099,1,566.07
2225,1,854.33
1936,1,47.64
2153,1,73.36
2217,1,77.57
2424,1,24.86
2298,1,145.57
1949,1,72.46
1961,1,20.13
2152,2,102.02
2155,1,71.92
2150,1,85.47
2052,1,179.76
2024,2,21.38
2061,1,26.68
1904,1,173.32
2351,1,67.5
2253,1,43.0
2064,1,201.04
2398,1,39.64
2121,1,44.09
2130,1,88.72
2125,1,171.44
2284,1,28.69
1907,1,351.22
1950,1,70.03
2368,1,114.77000000000001
2387,1,21.95
2089,1,116.93
1926,1,707.72
2009,1,63.74
1992,1,251.94
2273,1,148.12
2265,1,155.82
2443,1,235.95
1953,1,47.29
2281,1,137.99
2225,1,102.92
2007,2,43.88
2290,4,48.0
1952,1,32.33
2449,1,91.84
1911,1,52.91
2042,1,89.36
2147,1,104.55
2139,1,102.23
2065,1,90.88
1951,1,166.97
1913,1,118.03
2185,1,396.32
2255,1,142.92
1980,1,78.78
2255,1,143.5
2113,1,618.95
2247,1,814.4
2245,1,39.77
2184,1,162.75
2081,1,66.6
1890,1,289.41
1890,1,38.19
1891,1,162.77
2351,1,153.09
1975,1,213.51
1889,1,181.95
2341,1,80.2
2001,2,51.13
2401,1,61.26
2346,1,104.53
1981,1,111.84
2157,1,34.85
2145,1,196.99
2276,1,122.17
2152,1,78.77
2172,1,195.92
1960,1,76.39
2120,1,45.09
1887,1,179.22
1988,1,26.61
2106,1,19.85
2026,1,78.32
2212,1,27.68
1919,1,114.75
1936,1,32.13
2198,1,117.85
2106,1,190.48
2197,3,91.7
2285,1,124.4
2067,1,38.09
1946,1,147.64
1954,1,108.51
2035,1,74.34
1932,1,142.7
2084,1,121.88000000000001
2071,1,834.94
2092,1,61.0
2252,1,168.51
1896,1,32.44
1899,1,118.35
2190,1,45.0
2276,1,247.83
2002,1,67.29
2044,1,309.32
2263,1,1031.15
2005,1,57.23
1987,1,45.13
1885,1,183.18
2154,1,108.96
1896,1,48.41
1953,1,124.35
2018,1,98.34
1905,1,67.67
2059,1,120.0
2171,1,722.22
2370,1,169.14
2365,1,469.89
2248,1,67.02
2147,1,73.83
1888,1,511.42
2140,1,84.49
2085,1,53.58
2013,1,64.46
2403,1,121.28
1912,1,27.3
2200,1,54.36
2152,1,105.38
1946,1,249.7
2156,1,82.41
2121,1,71.15
1903,1,135.96
2184,1,116.85
2287,1,150.67
1955,1,97.13
2339,1,481.3
1899,1,128.78
1940,1,47.91
2353,1,126.39
2041,1,40.22
2257,1,86.15
2055,1,101.41
2072,1,42.85
1900,1,171.4
2218,1,51.78
2187,1,228.62
2294,1,233.81
2104,1,190.48
2171,1,43.58
2254,1,47.0
2136,1,27.64
1932,1,335.86
2410,1,121.85
2295,1,117.35
2043,1,363.96
2281,1,37.62
2240,1,86.02
2197,1,30.77
2328,1,147.66
2038,1,190.7
1916,1,17.38
1981,1,167.09
2337,1,30.0
2288,1,36.78
1902,1,66.42
2249,1,210.72
2050,1,105.87
